state,year,month,articles_all,articles_EPU_BBD,articles_EPU_Composite,articles_EPU_National,articles_EPU_State,ym,EPU_BBD,EPU_National,EPU_State,EPU_Composite,US_monthly_EPU,max_new_case,max_new_death,total_new_case,total_new_death,new_case,new_death,tot_cases,tot_death,is_school,is_res,is_bus,is_sip,repub_share_2016,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,unemp,emp,coincident_indic,population,state_code,period,lpop,num_papers,pres_general_election,pres_vote_margin,gov_general_election,gov_general_vote_share,gov_repub_dem_third,gov_primary_election,gov_primary_vote_share
MS,2013,11,8562,4,5,2,3,2013.8334,75.065239,37.532619,56.298927,93.831551,86.804718,,,,,,,,,,,,,.57941037,,,,,,,,,8.199999999999999,1116,106.1782034,2988711,MS,24167,14.910353,26,,,,,,,
MS,2013,12,8173,4,7,1,6,2013.9166,78.638023,19.659506,117.95705,137.61655,111.0418,,,,,,,,,,,,,.57941037,,,,,,,,,8.1,1116.2,106.32944703,2988711,MS,24168,14.910353,26,,,,,,,
MS,2014,1,8605,8,10,8,3,2014,149.38026,149.38026,56.017601,186.72533,103.97926,,,,,,,,,,,,,.57941037,,,,,,,,,8.1,1118.8,106.62678504,2990468,MS,24169,14.91094,27,,,,,,,
MS,2014,2,8358,7,10,6,5,2014.0834,134.57048,115.34612,96.121765,192.24353,90.139343,,,,,,,,,,,,,.57941037,,,,,,,,,8,1114.5,106.55246844,2990468,MS,24170,14.91094,27,,,,,,,
MS,2014,3,8811,1,6,6,2,2014.1666,18.235973,109.41584,36.471947,109.41584,97.524162,,,,,,,,,,,,,.57941037,,,,,,,,,7.9,1116.5,106.7932702,2990468,MS,24171,14.91094,27,,,,,,,
MS,2014,4,9031,1,2,1,2,2014.25,17.791733,17.791733,35.583466,35.583466,93.638115,,,,,,,,,,,,,.57941037,,,,,,,,,7.9,1118.1,107.10032903,2990468,MS,24172,14.91094,27,,,,,,,
MS,2014,5,9621,1,2,1,2,2014.3334,16.70067,16.70067,33.40134,33.40134,98.486008,,,,,,,,,,,,,.57941037,,,,,,,,,7.8,1118.7,107.29262448,2990468,MS,24173,14.91094,27,,,,,,,
MS,2014,6,8236,5,7,3,4,2014.4166,97.545624,58.527374,78.036499,136.56387,82.994537,,,,,,,,,,,,,.57941037,,,,,,,,,7.7,1119.8,107.53665166,2990468,MS,24174,14.91094,27,,,,,,,
MS,2014,7,8679,4,4,4,2,2014.5,74.053299,74.053299,37.026649,74.053299,75.790215,,,,,,,,,,,,,.57941037,,,,,,,,,7.6,1120.3,107.76460749,2990468,MS,24175,14.91094,27,,,,,,,
MS,2014,8,8531,8,10,6,5,2014.5834,150.67603,113.00702,94.172516,188.34503,61.66761,,,,,,,,,,,,,.57941037,,,,,,,,,7.5,1120.6,108.03335922,2990468,MS,24176,14.91094,27,,,,,,,
MS,2014,9,8567,7,9,7,5,2014.6666,131.28751,131.28751,93.776787,168.79822,83.234085,,,,,,,,,,,,,.57941037,,,,,,,,,7.4,1121.9,108.29222469,2990468,MS,24177,14.91094,27,,,,,,,
MS,2014,10,9263,5,5,5,2,2014.75,86.730621,86.730621,34.692249,86.730621,109.41397,,,,,,,,,,,,,.57941037,,,,,,,,,7.2,1123.5,108.52882662,2990468,MS,24178,14.91094,27,,,,,,,
MS,2014,11,8721,1,2,2,2,2014.8334,18.424166,36.848331,36.848331,36.848331,89.962341,,,,,,,,,,,,,.57941037,,,,,,,,,7.1,1126.2,108.82231277,2990468,MS,24179,14.91094,27,,,,,,,
MS,2014,12,8725,2,2,2,1,2014.9166,36.83144,36.83144,18.41572,36.83144,84.391342,,,,,,,,,,,,,.57941037,,,,,,,,,6.9,1127,109.11179249,2990468,MS,24180,14.91094,27,,,,,,,
MS,2015,1,8629,4,3,3,0,2015,74.482391,55.861797,0,55.861797,116.37421,,,,,,,,,,,,,.57941037,,,,,,,,,6.8,1125.3,109.23746136,2988471,MS,24181,14.910273,27,,,,,,,
MS,2015,2,8498,4,3,2,2,2015.0834,75.630569,37.815285,37.815285,56.722931,84.578773,,,,,,,,,,,,,.57941037,,,,,,,,,6.7,1126.9,109.46014114,2988471,MS,24182,14.910273,27,,,,,,,
MS,2015,3,8792,6,8,5,3,2015.1666,109.65229,91.3769,54.826145,146.20305,92.658737,,,,,,,,,,,,,.57941037,,,,,,,,,6.7,1124.7,109.54165959,2988471,MS,24183,14.910273,27,,,,,,,
MS,2015,4,8858,3,3,3,1,2015.25,54.417641,54.417641,18.139214,54.417641,99.962997,,,,,,,,,,,,,.57941037,,,,,,,,,6.6,1128.9,109.91677771,2988471,MS,24184,14.910273,27,,,,,,,
