state,date,year,month,day,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures
AL,22322,2021,2,11,0,0,1,0,0,0,2,0
AL,22323,2021,2,12,0,0,1,0,0,0,2,0
AL,22327,2021,2,16,0,0,0,0,0,0,2,0
AL,22333,2021,2,22,0,0,0,0,0,0,2,0
AL,22340,2021,3,1,0,0,0,0,0,0,2,0
AL,22342,2021,3,3,0,0,0,0,0,0,2,0
AL,22347,2021,3,8,0,0,0,0,0,0,2,0
AL,22354,2021,3,15,0,0,0,0,0,0,2,0
AL,22361,2021,3,22,0,0,0,0,0,0,2,0
AL,22368,2021,3,29,0,0,0,0,0,0,2,0
AL,22375,2021,4,5,0,0,0,0,0,0,2,0
AL,22382,2021,4,12,0,0,0,0,0,0,0,0
AL,22389,2021,4,19,0,0,0,0,0,0,0,0
AL,22396,2021,4,26,0,0,0,0,0,0,0,0
AL,22403,2021,5,3,0,0,0,0,0,0,0,0
AL,22410,2021,5,10,0,0,0,0,0,0,0,0
AL,22417,2021,5,17,0,0,0,0,0,0,0,0
AL,22424,2021,5,24,0,0,0,0,0,0,0,0
AL,22432,2021,6,1,0,0,0,0,0,0,0,0
AL,22438,2021,6,7,0,0,0,0,0,0,0,0
AL,22445,2021,6,14,0,0,0,0,0,0,0,0
AL,22452,2021,6,21,0,0,0,0,0,0,0,0
AL,22459,2021,6,28,0,0,0,0,0,0,0,0
AL,22463,2021,7,2,0,0,0,0,0,0,0,0
AR,22070,2020,6,4,0,1,0,1,2,1,0,1
AR,22071,2020,6,5,0,1,0,1,2,1,0,1
AR,22074,2020,6,8,0,1,0,1,2,1,0,1
AR,22078,2020,6,12,0,1,0,1,2,1,0,1
AR,22081,2020,6,15,0,0,0,0,2,1,0,1
AR,22083,2020,6,17,0,0,0,0,2,1,0,1
AR,22088,2020,6,22,0,0,0,0,2,1,0,1
AR,22090,2020,6,24,0,0,0,0,2,1,0,1
AR,22091,2020,6,25,0,0,0,0,2,1,1,1
AR,22092,2020,6,26,0,0,0,0,2,1,1,1
AR,22096,2020,6,30,0,0,0,0,2,1,1,1
AR,22097,2020,7,1,0,0,0,0,2,1,1,0
AR,22103,2020,7,7,0,0,0,0,2,1,1,0
AR,22104,2020,7,8,0,0,0,0,0,1,1,0
AR,22106,2020,7,10,0,0,0,0,0,1,1,0
AR,22109,2020,7,13,0,0,0,0,0,1,1,0
AR,22111,2020,7,15,0,0,0,0,0,1,1,0
AR,22112,2020,7,16,0,0,0,0,0,1,1,0
AR,22113,2020,7,17,0,0,0,0,0,1,2,0
AR,22116,2020,7,20,0,0,0,0,0,1,2,0
AR,22117,2020,7,21,0,0,0,0,0,1,2,0
AR,22119,2020,7,23,0,0,0,0,0,1,2,0
AR,22123,2020,7,27,0,0,0,0,0,1,2,0
AR,22124,2020,7,28,0,0,0,0,0,1,2,0
AR,22126,2020,7,30,0,0,0,0,0,1,2,0
AR,22130,2020,8,3,0,0,0,0,0,1,2,0
AR,22132,2020,8,5,0,0,0,0,0,1,2,0
AR,22138,2020,8,11,0,0,0,0,0,1,2,0
AR,22158,2020,8,31,0,0,0,0,0,1,2,0
AR,22160,2020,9,2,0,0,0,0,0,1,2,0
AR,22166,2020,9,8,0,0,0,0,0,1,2,0
AR,22172,2020,9,14,0,0,0,0,0,1,2,0
AR,22180,2020,9,22,0,0,0,0,0,1,2,0
AR,22182,2020,9,24,0,0,0,0,0,1,2,0
AR,22189,2020,10,1,0,0,0,0,0,1,2,0
AR,22193,2020,10,5,0,0,0,0,0,1,2,0
AR,22210,2020,10,22,0,0,0,0,0,1,2,0
AR,22211,2020,10,23,0,0,0,0,0,1,2,0
AR,22215,2020,10,27,0,0,0,0,0,1,2,0
AR,22221,2020,11,2,0,0,0,0,0,1,2,0
AR,22225,2020,11,6,0,0,0,0,0,1,2,0
AR,22230,2020,11,11,0,0,0,0,0,1,2,0
AR,22232,2020,11,13,0,0,0,0,0,1,2,0
AR,22235,2020,11,16,0,0,0,0,0,1,2,0
AR,22239,2020,11,20,0,0,0,0,0,1,2,0
AR,22249,2020,11,30,0,0,0,0,0,1,2,0
AR,22250,2020,12,1,0,0,0,0,0,1,2,0
AR,22258,2020,12,9,0,0,0,0,0,1,2,0
AR,22260,2020,12,11,0,0,0,0,0,1,2,0
AR,22263,2020,12,14,0,0,0,0,0,1,2,0
AR,22266,2020,12,17,0,0,0,0,0,1,2,0
AR,22267,2020,12,18,0,0,0,0,0,1,2,0
AR,22269,2020,12,20,0,0,0,0,0,1,2,0
AR,22284,2021,1,4,0,0,0,0,0,1,2,0
AR,22288,2021,1,8,0,0,0,0,0,1,2,0
AR,22291,2021,1,11,0,0,0,0,0,1,2,0
AR,22292,2021,1,12,0,0,0,0,0,1,2,0
AR,22294,2021,1,14,0,0,0,0,0,1,2,0
AR,22295,2021,1,15,0,0,0,0,0,1,2,0
AR,22299,2021,1,19,0,0,0,0,0,1,2,0
AR,22301,2021,1,21,0,0,0,0,0,1,2,0
AR,22302,2021,1,22,0,0,0,0,0,1,2,0
AR,22305,2021,1,25,0,0,0,0,0,1,2,0
AR,22306,2021,1,26,0,0,0,0,0,1,2,0
AR,22308,2021,1,28,0,0,0,0,0,1,2,0
AR,22309,2021,1,29,0,0,0,0,0,1,2,0
AR,22312,2021,2,1,0,0,0,0,0,1,2,0
AR,22314,2021,2,3,0,0,0,0,0,1,2,0
AR,22320,2021,2,9,0,0,0,0,0,1,2,0
AR,22322,2021,2,11,0,0,0,0,0,1,2,0
AR,22323,2021,2,12,0,0,0,0,0,1,2,0
AR,22327,2021,2,16,0,0,0,0,0,1,2,1
AR,22333,2021,2,22,0,0,0,0,0,1,2,1
AR,22340,2021,3,1,0,0,0,0,0,0,2,0
AR,22342,2021,3,3,0,0,0,0,0,0,2,0
AR,22347,2021,3,8,0,0,0,0,0,0,2,0
AR,22354,2021,3,15,0,0,0,0,0,0,2,0
AR,22361,2021,3,22,0,0,0,0,0,0,2,0
AR,22368,2021,3,29,0,0,0,0,0,0,2,0
AR,22375,2021,4,5,0,0,0,0,0,0,0,0
AR,22382,2021,4,12,0,0,0,0,0,0,0,0
AR,22389,2021,4,19,0,0,0,0,0,0,0,0
AR,22396,2021,4,26,0,0,0,0,0,0,0,0
AR,22403,2021,5,3,0,0,0,0,0,0,0,0
AR,22410,2021,5,10,0,0,0,0,0,0,0,0
AR,22417,2021,5,17,0,0,0,0,0,0,0,0
AR,22424,2021,5,24,0,0,0,0,0,0,0,0
AR,22432,2021,6,1,0,0,0,0,0,0,0,0
AR,22438,2021,6,7,0,0,0,0,0,0,0,0
AR,22445,2021,6,14,0,0,0,0,0,0,0,0
AR,22452,2021,6,21,0,0,0,0,0,0,0,0
AR,22459,2021,6,28,0,0,0,0,0,0,0,0
AR,22463,2021,7,2,0,0,0,0,0,0,0,0
AZ,22070,2020,6,4,0,0,1,0,2,1,0,1
AZ,22071,2020,6,5,0,0,1,0,2,1,0,1
AZ,22074,2020,6,8,0,0,1,0,2,1,0,1
AZ,22078,2020,6,12,0,0,1,0,2,1,0,1
AZ,22081,2020,6,15,0,0,1,0,2,1,0,1
AZ,22083,2020,6,17,0,0,1,0,2,1,0,1
AZ,22088,2020,6,22,0,0,1,0,2,1,0,1
AZ,22090,2020,6,24,0,0,1,0,2,1,0,1
AZ,22091,2020,6,25,0,0,1,0,2,1,1,1
AZ,22092,2020,6,26,0,0,1,0,2,1,1,1
AZ,22096,2020,6,30,0,0,1,1,2,1,1,1
AZ,22097,2020,7,1,0,0,3,1,2,1,1,2
AZ,22103,2020,7,7,0,0,3,1,2,1,1,2
AZ,22104,2020,7,8,0,0,3,1,0,1,1,2
AZ,22106,2020,7,10,0,0,3,1,0,1,1,2
AZ,22109,2020,7,13,0,0,3,1,0,1,1,2
AZ,22111,2020,7,15,0,0,3,1,0,1,1,2
AZ,22112,2020,7,16,0,0,3,1,0,1,1,2
AZ,22113,2020,7,17,0,0,3,1,0,1,1,2
AZ,22116,2020,7,20,0,0,3,1,0,1,1,2
AZ,22117,2020,7,21,0,0,3,1,0,1,1,2
AZ,22119,2020,7,23,0,0,3,1,0,1,1,2
AZ,22123,2020,7,27,0,0,3,1,0,1,1,2
AZ,22124,2020,7,28,0,0,3,1,0,1,1,2
AZ,22126,2020,7,30,0,0,3,1,0,1,1,2
AZ,22130,2020,8,3,0,0,3,1,0,1,1,2
AZ,22132,2020,8,5,0,0,3,1,0,1,1,2
AZ,22138,2020,8,11,0,0,3,1,0,1,1,2
AZ,22158,2020,8,31,0,0,3,1,0,1,1,2
AZ,22160,2020,9,2,0,0,3,1,0,1,1,2
AZ,22166,2020,9,8,0,0,3,1,0,1,1,2
AZ,22172,2020,9,14,0,0,3,1,0,1,1,2
AZ,22180,2020,9,22,0,0,3,1,0,1,1,2
AZ,22182,2020,9,24,0,0,3,1,0,1,1,2
AZ,22189,2020,10,1,0,0,3,1,0,1,1,2
AZ,22193,2020,10,5,0,0,3,1,0,1,1,2
AZ,22210,2020,10,22,0,0,3,1,0,1,1,2
AZ,22211,2020,10,23,0,0,3,1,0,1,1,2
AZ,22215,2020,10,27,0,0,3,1,0,1,1,2
AZ,22221,2020,11,2,0,0,3,1,0,1,1,2
AZ,22225,2020,11,6,0,0,3,1,0,1,1,2
AZ,22230,2020,11,11,0,0,3,1,0,1,1,2
AZ,22232,2020,11,13,0,0,3,1,0,1,1,2
AZ,22235,2020,11,16,0,0,3,1,0,1,1,2
AZ,22239,2020,11,20,0,0,3,1,0,1,1,1
AZ,22249,2020,11,30,0,0,3,1,0,1,1,1
AZ,22250,2020,12,1,0,0,3,1,0,1,1,1
AZ,22258,2020,12,9,0,0,3,1,0,1,1,1
AZ,22260,2020,12,11,0,0,3,1,0,1,1,1
AZ,22263,2020,12,14,0,0,3,1,0,1,1,1
AZ,22266,2020,12,17,0,0,3,1,0,1,1,1
AZ,22267,2020,12,18,0,0,3,1,0,1,1,1
AZ,22269,2020,12,20,0,0,3,1,0,1,1,1
AZ,22284,2021,1,4,0,0,3,1,0,1,1,1
AZ,22288,2021,1,8,0,0,3,1,0,1,1,1
AZ,22291,2021,1,11,0,0,3,1,0,1,1,1
AZ,22292,2021,1,12,0,0,3,1,0,1,1,1
AZ,22294,2021,1,14,0,0,3,1,0,1,1,1
AZ,22295,2021,1,15,0,0,3,1,0,1,1,1
AZ,22299,2021,1,19,0,0,3,1,0,1,1,1
AZ,22301,2021,1,21,0,0,3,1,0,1,1,1
AZ,22302,2021,1,22,0,0,3,1,0,1,1,1
AZ,22305,2021,1,25,0,0,3,1,0,1,1,1
AZ,22306,2021,1,26,0,0,3,1,0,1,1,1
AZ,22308,2021,1,28,0,0,3,1,0,1,1,1
AZ,22309,2021,1,29,0,0,3,1,0,1,1,1
AZ,22312,2021,2,1,0,0,3,1,0,1,1,1
AZ,22314,2021,2,3,0,0,3,1,0,1,1,1
AZ,22320,2021,2,9,0,0,3,1,0,1,1,1
AZ,22322,2021,2,11,0,0,3,1,0,1,1,1
AZ,22323,2021,2,12,0,0,3,1,0,1,1,1
AZ,22327,2021,2,16,0,0,1,1,0,1,0,1
AZ,22333,2021,2,22,0,0,1,1,0,1,0,1
AZ,22340,2021,3,1,0,0,1,1,0,1,0,1
AZ,22342,2021,3,3,0,0,1,1,0,1,0,1
AZ,22347,2021,3,8,0,0,0,1,0,0,0,0
AZ,22354,2021,3,15,0,0,0,1,0,0,0,0
AZ,22361,2021,3,22,0,0,0,1,0,0,0,0
AZ,22368,2021,3,29,0,0,0,0,0,0,0,0
AZ,22375,2021,4,5,0,0,0,0,0,0,0,0
AZ,22382,2021,4,12,0,0,0,0,0,0,0,0
AZ,22389,2021,4,19,0,0,0,0,0,0,0,0
AZ,22396,2021,4,26,0,0,0,0,0,0,0,0
AZ,22403,2021,5,3,0,0,0,0,0,0,0,0
AZ,22410,2021,5,10,0,0,0,0,0,0,0,0
AZ,22417,2021,5,17,0,0,0,0,0,0,0,0
AZ,22424,2021,5,24,0,0,0,0,0,0,0,0
AZ,22432,2021,6,1,0,0,0,0,0,0,0,0
AZ,22438,2021,6,7,0,0,0,0,0,0,0,0
AZ,22445,2021,6,14,0,0,0,0,0,0,0,0
AZ,22452,2021,6,21,0,0,0,0,0,0,0,0
AZ,22459,2021,6,28,0,0,0,0,0,0,0,0
AZ,22463,2021,7,2,0,0,0,0,0,0,0,0
CA,22070,2020,6,4,3,0,2,2,1,2,0,2
CA,22071,2020,6,5,3,0,2,2,1,2,0,2
CA,22074,2020,6,8,3,0,2,2,1,2,0,2
