state,year,month,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,is_school,is_res,is_bus,is_sip
KY,2021,5,0,0,1,0,0,1,1,1,,,,
KY,2021,6,0,0,.43333334,0,0,.43333334,.43333334,.43333334,,,,
KY,2021,7,0,0,0,0,0,0,0,0,,,,
LA,2020,6,0,0,1,.22222222,1,1,.22222222,1,,,,
LA,2020,7,0,0,1,1,.22580644,1,1,.61290324,,,,
LA,2020,8,0,0,1,1,0,1,1,1,,,,
LA,2020,9,0,0,1,1,0,1,1,1,,,,
LA,2020,10,0,0,1,1,0,1,1,1,,,,
LA,2020,11,0,0,1,.66666669,0,1,1,1,,,,
LA,2020,12,0,0,1,1,0,1,1,1,,,,
LA,2021,1,0,0,1,1,0,1,1,1,,,,
LA,2021,2,0,0,1,.53571427,0,1,1,1,,,,
LA,2021,3,0,0,1,.54838711,0,1,1,1,,,,
LA,2021,4,0,0,1,1,0,.13333334,.83333331,.13333334,,,,
LA,2021,5,0,0,1,1,0,0,0,0,,,,
LA,2021,6,0,0,0,0,0,0,0,0,,,,
LA,2021,7,0,0,0,0,0,0,0,0,,,,
MA,2020,6,1,1,1,1,1,.66666669,.22222222,.66666669,,,,
MA,2020,7,1,1,1,1,.22580644,0,1,1,,,,
MA,2020,8,1,1,1,1,0,.67741936,1,1,,,,
MA,2020,9,1,1,1,1,0,1,1,1,,,,
MA,2020,10,1,1,1,1,0,1,1,1,,,,
MA,2020,11,1,1,1,1,0,1,1,1,,,,
MA,2020,12,1,1,1,1,0,1,1,1,,,,
MA,2021,1,1,1,1,1,0,1,1,1,,,,
MA,2021,2,1,1,1,1,0,1,1,1,,,,
MA,2021,3,1,.67741936,1,1,0,0,1,0,,,,
MA,2021,4,1,0,1,1,0,0,1,0,,,,
MA,2021,5,1,0,1,1,0,0,1,0,,,,
MA,2021,6,0,0,0,0,0,0,0,0,,,,
MA,2021,7,0,0,0,0,0,0,0,0,,,,
MD,2020,6,0,1,1,1,1,1,.22222222,1,,,,
MD,2020,7,0,1,1,.93548387,.22580644,1,1,0,,,,
MD,2020,8,0,.96774191,1,0,0,1,1,0,,,,
MD,2020,9,0,0,1,0,0,1,1,0,,,,
MD,2020,10,0,0,1,0,0,1,1,0,,,,
MD,2020,11,0,0,1,0,0,1,1,.66666669,,,,
MD,2020,12,0,.48387095,1,0,0,1,1,1,,,,
MD,2021,1,0,1,1,0,0,1,1,1,,,,
MD,2021,2,0,1,1,0,0,1,1,1,,,,
MD,2021,3,0,.45161289,1,0,0,.45161289,1,.45161289,,,,
MD,2021,4,0,0,1,0,0,0,1,0,,,,
MD,2021,5,0,0,.51612902,0,0,0,.51612902,0,,,,
MD,2021,6,0,0,0,0,0,0,0,0,,,,
MD,2021,7,0,0,0,0,0,0,0,0,,,,
ME,2020,6,1,1,1,1,1,1,.22222222,1,,,,
